#CODE;ENGLISH;;;;;;;;;;;;;x
SOC_CAN_DECLARE_MIAPHYSITES_HERETICS;Can we declare Miaphysites heretics?;;;;;;;;;;;;;x
SOC2DESC;The Council of Chalcedon of 451 adopted dyophysitism. Although miaphysitism was tolerated in the Roman Empire, during the Muslim Conquest of Egypt in the 7th Century Patriarch Cyrus of Alexandria shamefully submitted to them. Today we drove back the Muslims, control Alexandria and have our sight on Africa. Can we declare Miaphysites heretics?;;;;;;;;;;;;;x
SOC2OPTA;No, there are more Miaphysite Christians than Orthodox Christians right now.;;;;;;;;;;;;;x
SOC2OPTB;Yes, but we won't declare them heretics yet.;;;;;;;;;;;;;x
SOC2OPTC;Yes, they are now heretics.;;;;;;;;;;;;;x
soc_declare_nestorians_heretics;Declare Nestorians Heretics;;;;;;;;;;;;;x
soc_declare_nestorians_heretics_desc;By declaring Nestorians heretics we will be able to declare holy wars against them and to freely revoke their titles.;;;;;;;;;;;;;x
SOC_CAN_DECLARE_NESTORIANS_HERETICS;Can we declare Nestorians heretics?;;;;;;;;;;;;;x
SOC3DESC;The Council of Ephesus of 431 condemned Nestorianism, the view of Patriarch Nestorios of Constantinople which stated that Christ was two persons living in the same body. Following the schism the Christian Church of Sassanid Persia became increasingly Nestorian. Today we drove back the Muslims, control Antioch and have our sight on Asia. Can we declare Nestorians heretics?;;;;;;;;;;;;;x
SOC3OPTA;No, there are more Nestorian Christians than Orthodox Christians right now.;;;;;;;;;;;;;x
SOC3OPTB;Yes, but we won't declare them heretics yet.;;;;;;;;;;;;;x
SOC3OPTC;Yes, they are now heretics.;;;;;;;;;;;;;x
soc_vassalize_holy_sepulchre;Vassalize;;;;;;;;;;;;;x
soc_vassalize_holy_sepulchre_desc;Bring the Brotherhood of the Holy Sepulchre into your realm as a vassal, to once more protect the holy places in Jerusalem.;;;;;;;;;;;;;x
soc_donate_holy_sepulchre;Donate;;;;;;;;;;;;;x
soc_donate_holy_sepulchre_desc;Donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the Orthodox Church.;;;;;;;;;;;;;x
SOC4DESC;The grandmaster of the Brotherhood of the Holy Sepulchre has informed me of his plans to reorganize the holy order. I should disband their troops for the next year or they might be disbanded by him.;;;;;;;;;;;;;x
SOC4OPTA;Very well.;;;;;;;;;;;;;x
soc_pause_orthodox_crusades;Pause Orthodox Crusades;;;;;;;;;;;;;x
soc_pause_orthodox_crusades_desc;In the current political environment crusades won't help us. Let us find better ways to spread the true faith.;;;;;;;;;;;;;x
soc_unpause_orthodox_crusades;Resume Orthodox Crusades;;;;;;;;;;;;;x
soc_unpause_orthodox_crusades_desc;We are once again in a favorable situation to declare crusades. Let us resume the spread of the true faith.;;;;;;;;;;;;;x
soc_saint_basil_community_set_up;Declare the Emperor a welcome guest of the community;;;;;;;;;;;;;x
soc_saint_basil_community_set_up_desc;The liege of the Ecumenical Patriarch can always rank up to Megaloschemos.;;;;;;;;;;;;;x
soc_saint_basil_community_rank_up;Rank up to Megaloschemos;;;;;;;;;;;;;x
soc_saint_basil_community_rank_up_desc;As the liege of the Ecumenical Patriarch and a member of the Community of Saint Basil, I should be Megaloschemos;;;;;;;;;;;;;x
